Location,Attempts/threats to murder assaults harassments and related offences,Dangerous or negligent acts,Kidnapping and related offences,Robbery extortion and hijacking offences,Burglary and related offences,Theft and related offences,Fraud deception and related offences,Controlled drug offences,Weapons and Explosives Offences,Damage to property and to the environment,Public order and other social code offences,Offences against government justice procedures and organisation of crime
"Donnybrook, D.M.R. South Central Division",56,20,0,17,233,588,51,110,11,93,167,7
"Irishtown, D.M.R. South Central Division",66,22,1,18,184,686,70,43,15,147,140,8
"Pearse Street, D.M.R. South Central Division",695,66,4,155,442,5379,465,618,130,453,2755,118
"Kevin Street, D.M.R. South Central Division",261,50,2,60,200,1306,88,281,43,438,379,19
"Kilmainham, D.M.R. South Central Division",187,31,3,58,139,699,42,134,40,267,263,35
"Bridewell Dublin, D.M.R. North Central Division",169,33,1,53,174,777,69,113,28,307,240,4515
"Fitzgibbon Street, D.M.R. North Central Division",131,39,0,44,159,750,41,181,39,253,196,26
"Mountjoy, D.M.R. North Central Division",209,39,1,54,249,890,58,124,32,244,242,86
"Store Street, D.M.R. North Central Division",484,88,5,89,256,5295,332,592,114,448,2051,39
"Balbriggan, D.M.R. Northern Division",118,51,3,18,140,418,72,58,13,242,109,80
"Garristown, D.M.R. Northern Division",7,2,0,0,24,16,1,3,1,5,1,0
"Lusk, D.M.R. Northern Division",65,20,2,2,44,410,12,22,7,93,35,17
"Skerries, D.M.R. Northern Division",28,8,0,4,53,58,3,4,1,34,15,2
"Ballymun, D.M.R. Northern Division",198,44,1,63,119,623,38,222,68,246,152,49
"Dublin Airport, D.M.R. Northern Division",17,9,7,2,7,241,28,42,11,11,90,3
"Santry, D.M.R. Northern Division",131,33,1,53,267,1049,35,59,17,219,104,24
"Coolock, D.M.R. Northern Division",164,47,1,60,207,914,35,260,26,311,126,80
"Malahide, D.M.R. Northern Division",58,10,0,13,103,314,19,26,5,123,69,6
"Swords, D.M.R. Northern Division",183,76,3,25,187,886,42,132,19,218,271,169
"Clontarf, D.M.R. Northern Division",80,42,1,32,242,660,27,98,14,216,110,18
"Howth, D.M.R. Northern Division",49,27,1,15,81,280,9,14,2,97,45,11
"Raheny, D.M.R. Northern Division",66,29,0,24,92,265,20,105,10,93,66,12
"Crumlin, D.M.R. Southern Division",75,16,1,16,176,448,40,88,14,156,67,21
"Sundrive Road, D.M.R. Southern Division",85,46,1,16,145,296,32,135,18,161,117,24
"Rathfarnham, D.M.R. Southern Division",120,29,0,22,322,729,47,212,21,190,152,25
"Tallaght, D.M.R. Southern Division",355,139,4,133,381,1593,130,457,61,806,470,322
"Rathmines, D.M.R. Southern Division",81,23,2,21,158,638,54,77,8,198,174,15
"Terenure, D.M.R. Southern Division",53,25,2,10,166,440,32,57,6,133,79,9
"Blackrock, Co Dublin, D.M.R. Eastern Division",66,31,1,6,303,526,54,50,2,94,115,9
"Dundrum, D.M.R. Eastern Division",159,56,2,23,535,1515,104,105,10,289,172,28
"Cabinteely, D.M.R. Eastern Division",85,29,1,7,289,388,13,43,7,132,81,15
"Dun Laoghaire, D.M.R. Eastern Division",154,27,0,20,426,793,45,155,14,177,202,221
"Shankill, D.M.R. Eastern Division",79,35,0,6,161,321,13,79,14,155,95,21
"Blanchardstown, D.M.R. Western Division",364,148,5,102,535,1949,392,204,69,585,293,776
"Cabra, D.M.R. Western Division",72,29,1,31,79,535,41,33,5,132,61,9
"Finglas, D.M.R. Western Division",204,62,2,91,190,908,141,295,49,378,195,60
"Ballyfermot, D.M.R. Western Division",73,54,0,33,88,501,40,231,31,227,165,37
"Clondalkin, D.M.R. Western Division",147,64,0,50,206,797,69,167,28,282,182,49
"Rathcoole, D.M.R. Western Division",33,17,1,10,96,320,25,22,1,78,23,6
"Lucan, D.M.R. Western Division",81,51,1,24,198,610,43,89,22,218,130,17
"Ronanstown, D.M.R. Western Division",183,64,0,31,143,974,54,352,33,264,157,124
